CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
977158,252.4,C11H12N2OS2,92.1,2.2,16,1,4,4,C1CSC(=N1)NC(=O)CSC2=CC=CC=C2,0,1
4522146,310.3,C18H18N2O3,66.1,3.9,23,0,3,4,CC(C1CC1)N(C2=CC=CC=C2)C(=O)C3=CC=CC=C3[N+](=O)[O-],0,1
2210920,263.25,C12H13N3O4,85.6,1.2,19,2,5,4,COC1=C(C=C(C=C1)NC(=O)NC2=NOC=C2)OC,0,1
135431940,358.5,C19H22N2O3S,93.1,3.9,25,1,5,6,CCC1(CC2=CC=CC=C2C3=C1C(=O)NC(=N3)SCC(=O)OCC)C,0,1
135802831,431.5,C24H25N5O3,97.7,NULL,32,2,6,3,CC1=CC2=C(C=C1)N=C(NC2=O)NC3=NC(=CC(=N3)C4=CC=CC=C4)C.C1COCCO1,0,2
2740027,265.4,C13H15NOS2,76.8,3.5,17,0,3,4,CCN(CC)C(=O)C1=CC=C(S1)C2=CC=CS2,0,1
17382445,345.4,C19H27N3O3,69.7,2.6,25,1,3,7,CCNC(=O)CC1C(=O)N(C(=O)N1CCC(C)C)C2=CC=CC(=C2)C,0,1
9579633,217.22,C11H11N3O2,59.5,1.3,16,1,3,3,CN1C=CC=C1C=NNC(=O)C2=CC=CO2,0,1
6876237,344.4,C21H16N2O3,63.8,4.8,26,1,4,4,COC1=CC=CC=C1C=NNC(=O)C2=CC3=C(O2)C=CC4=CC=CC=C43,0,1
18076324,355.4,C20H25N3O3,69.7,2.6,26,1,3,5,CCN(CC(=C)C)C(=O)CN1C(=O)C2(CCCC3=CC=CC=C32)NC1=O,0,1
7626410,323.3,C18H17N3O3,79.8,2.4,24,2,4,5,CC1=CC(=CC=C1)OCC(=O)NCC2=NNC(=O)C3=CC=CC=C32,0,1
834866,250.32,C12H14N2O2S,74.9,2.6,17,1,4,5,COC1=CC=C(C=C1)CCCC2=NNC(=S)O2,0,1
3154415,305.33,C14H12FN3O2S,90.5,1.3,21,1,5,3,C1C(CN(C1=O)C2=CC=C(C=C2)F)C(=O)NC3=NC=CS3,0,1
2950802,307.28,C12H9N3O5S,135,2.1,21,1,7,2,C1C(OC2=CC=CC=C2O1)C(=O)NC3=NC=C(S3)[N+](=O)[O-],0,1
17037736,255.76,C14H19ClFN,12,NULL,17,2,2,0,CC1CC2(CCCC2)NC3=C1C=C(C=C3)F.Cl,0,2
2867648,348.4,C22H24N2O2,50.4,4.2,26,2,4,2,CC1(CC2=C(C(NC3=CC=CC=C3N2)C4=CC(=CC=C4)OC)C(=O)C1)C,0,1
9584573,343.4,C18H21N3O2S,87,3.5,24,2,4,7,COC1=CC=CC(=C1OC)C=NNC(=S)NCCC2=CC=CC=C2,0,1
1398121,309.7,C17H12ClN3O,51,4.9,22,1,4,2,CC1=NC2=C(C(=N1)NC3=CC=CC=C3)OC4=C2C=C(C=C4)Cl,0,1
2429712,325.79,C16H20ClNO4,64.599,3.7,22,1,4,6,COC1=C(C=C(C=C1)Cl)NC(=O)COC(=O)C2CCCCC2,0,1
2388958,316.4,C18H24N2O3,81.4,2.9,23,2,4,7,CC1=C(C=C(C=C1)C(=O)OCC(=O)NCCC2=CCCCC2)N,0,1
2242101,297.37,C14H19NO4S,64.2,1.4,20,0,5,2,CC1=CC=C(C=C1)S(=O)(=O)N2CCC3(CC2)OCCO3,0,1
2930103,268.35,C13H17FN2OS,56.6,2.3,18,1,3,1,CC1CN(CC(O1)C)C(=S)NC2=CC=CC=C2F,0,1
2777971,206.19,C7H5F3N2S,70.1,1.4,13,2,4,1,C1=CC(=C(C(=C1NC(=S)N)F)F)F,0,1
4776419,301.34,C17H19NO4,56.8,3,22,1,4,6,CC1=CC=C(C=C1)CONC(=O)C2=C(C(=CC=C2)OC)OC,0,1
1989756,288.3,C15H16N2O4,88.4,3,21,1,6,8,CCOC(=O)C(=CNC1=CC=C(C=C1)C#N)C(=O)OCC,0,1
1166432,286.34,C17H19FN2O,42,3.8,21,1,3,2,CC1=CC(=C2C=C(C=CC2=N1)F)C(=O)NC3CCCCC3,0,1
4437603,318.8,C16H15ClN2OS,60.9,3.7,21,0,3,3,CC1=CC=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3,0,1
7079,269.29,C16H15NO3,55.4,3.1,20,1,3,5,COC1=CC=CC=C1NC(=O)CC(=O)C2=CC=CC=C2,0,1
20912626,261.32,C13H19N5O,64.9,1.3,19,1,5,5,COCCCNC1=C2C(=NC=N1)N3CCCCC3=N2,0,1
885646,279.8,C16H22ClNO,29.1,5.1,19,1,1,2,CC1=CC(=C(C=C1)C(=O)NC2CCCCCCC2)Cl,0,1
135457649,281.31,C15H15N5O,85.9,2.4,21,3,3,3,CC1=CC(=NN1)C(=O)NN=CC2=C(NC3=CC=CC=C32)C,0,1
2743113,404.7,C15H16Cl3N5O2,71.4,3.4,25,2,4,3,CC1=CC(=NN1C2=C(C=C(C=C2Cl)Cl)Cl)NC(=O)NN3CCOCC3,0,1
6489541,340.5,C14H20N4O2S2,111,2.1,22,1,6,7,CCCC1=CC=C(C=C1)S(=O)(=O)NCC2=NN=C(N2C)SC,0,1
24240394,308.3,C18H16N2O3,64.4,3.3,23,1,4,5,CC1=NC(=CC=C1)NC(=O)C2=CC=C(O2)COC3=CC=CC=C3,0,1
4350218,265.31,C16H15N3O,39.4,2.7,20,0,3,1,CC1=NN2C=C3CCC4=C(C3=NC2=C1)C=CC(=C4)OC,0,1
945916,261.269,C14H15NO4,64.599,1.3,19,1,4,5,CC1=C2C(=CC=C1)C=C(C(=O)N2)COC(=O)COC,0,1
2444893,317.8,C17H16ClNO3,56.3,4.2,22,0,4,5,CC1=CC(=C(C(=C1)C)C(=O)COC(=O)C2=C(N=CC=C2)Cl)C,0,1
2985758,282.36,C13H18N2O3S,74.9,1.3,19,1,4,6,CCN(CC(=O)NC1CC1)S(=O)(=O)C2=CC=CC=C2,0,1
3217135,347.4,C16H21N5O2S,114,2.3,24,2,5,5,CC1=CC(=CC=C1)C(=O)NNC(=O)CSC2=NN=C(N2C)C(C)C,0,1
2814138,236.27,C15H12N2O,44.9,2.7,18,2,1,2,C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)NC=C3,0,1
3742915,310.3,C18H18N2O3,58.6,2.9,23,1,3,4,CCC1C(=O)NC2=CC=CC=C2N1C(=O)COC3=CC=CC=C3,0,1
6467461,300.8,C13H17ClN2O2S,49,2.1,19,0,4,2,C1CC2CN(CCN2C1)S(=O)(=O)C3=CC=C(C=C3)Cl,0,1
