,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
SY6_3D,75412.0,19.99806944782172,0.4115976508791928,17.3130629650763,19.754396202349415,20.000032272586168,20.241746286026604,22.684906341457843,-0.01578572520391256,1.3735851728617865
SY_3D,75412.0,19.999973640433588,0.27168909049108925,18.68116263966192,19.837798775919477,20.001217878869326,20.163570568508582,21.3184525937589,-0.013007674314035485,0.91518432126465
MMZ6_3D,75412.0,2.382362373108098,1.03880878572644,0.0001,1.8229874705379578,2.4568000000000003,2.947073349492209,8.1222,-0.11846851477632789,0.4710325624844418
MMZ_3D,75412.0,4.13636974680425,1.2163961901799332,0.0004,3.5618985869503255,4.313700000000001,4.866210585676684,9.8329,-0.6929371709551478,1.1751254490768481
SZ6_3D,75412.0,19.997148417139705,0.5275168353738414,16.284359055955868,19.747451707115502,19.999295994496656,20.24655514398777,23.854186720021023,0.023313195474027586,4.893629894101704
SZ_3D,75412.0,19.995724782039797,0.3481032896553325,14.612510691955986,19.843701269115073,19.997731081375676,20.147301860012885,25.101883816589844,-0.5007975465215314,18.665350383638188
Volume_1_3D,75412.0,60.07678003431762,68.04684881134438,2.250723438404104e-07,26.868885855430563,42.49170460879749,69.96244462749758,2783.715013801293,9.214297793042165,215.20595376185202
XY_3D_volume,75412.0,20.39684211166822,1.1767345031610617,20.00000140448058,20.062104550612652,20.153668200519668,20.36355140555896,105.9253475994435,25.770122543145977,1204.2613834223337
XZ_3D_volume,75412.0,20.610920351101935,7.97043382690923,20.00000004412029,20.046771104898742,20.115015709068082,20.286405094819262,663.1979603771034,50.42287829118028,3099.827021236074
YZ_3D_volume,75412.0,20.574895013779443,7.630489785695519,20.000000041244054,20.046920664388384,20.115294983573445,20.280772075126904,628.8590444467112,53.808785199327275,3431.6243683415505
C_relative,75412.0,0.4135523691094349,0.04244782463851493,0.17,0.3850041731456384,0.4143367723172341,0.44,0.6,-0.14011262658458296,0.25868117373366273
H_relative,75412.0,0.42323003634984974,0.061020800656101326,0.1,0.3807818223297751,0.42305240324637433,0.4668085953509533,0.64,-0.17017831149367343,0.03369096383594705
O_relative,75412.0,0.06130256615332741,0.037343595737987706,0.0,0.03,0.06,0.08379764154288255,0.33,0.5957675902213921,0.5263497646588888
S_relative,75412.0,0.015129384977808006,0.019254654054200647,0.0,0.0,0.0,0.03,0.2,1.3676300017024363,2.8135653887807663
N_relative,75412.0,0.07552323667669096,0.037047989364040926,0.0,0.05,0.07,0.09680267527031344,0.4,1.0576772336483025,1.9340155961220509
Br_relative,75412.0,0.0010231943903585739,0.005820847889334241,0.0,0.0,0.0,0.0,0.17,6.4992042147494224,53.608771742848845
Cl_relative,75412.0,0.005035493650826047,0.013720442645843644,0.0,0.0,0.0,0.0,0.31,3.675990582807245,20.509406962021977
F_relative,75412.0,0.004678291893025255,0.016462524495777148,0.0,0.0,0.0,0.0,0.29,5.225893999371275,36.38513130015858
C,75412.0,61.05658472577625,8.869908659823475,20.83,55.05254680213293,61.36241762582255,67.36,89.6,-0.23707433808212489,-0.1117275237299773
H,75412.0,5.358438475443264,1.4078649425949998,0.66,4.38,5.270647786219254,6.241336833472655,12.62,0.3834455492378921,0.23456390842402497
O,75412.0,11.784253555039363,6.791874031062924,0.0,6.205227156471113,11.25,16.09,47.97,0.3462906673326951,-0.08568107961587978
S,75412.0,5.46799655079036,6.636457340879437,0.0,0.0,0.0,10.400063209543893,53.95,0.9811796752675717,0.5854814155162158
N,75412.0,12.697428089033778,5.694543773427832,0.0,8.73,12.16,15.99,55.25,0.8909951508124654,1.4611189147098074
Br,75412.0,0.7645105666872554,4.249148667025939,0.0,0.0,0.0,0.0,66.62,5.72007084999452,32.95610432119529
Cl,75412.0,1.8756666549655876,4.880480723167044,0.0,0.0,0.0,0.0,63.22,2.9273971196388158,9.504486886526667
F,75412.0,0.9698664002281006,3.251452067133118,0.0,0.0,0.0,0.0,40.69,4.520609092744946,24.749327720789474
C_rel_2D,75412.0,21.40439462584303,0.8298052852799404,20.15851441591022,20.84968853929267,21.171098134239404,21.735104516325908,45.30493333333334,2.9547263559016033,35.369355273783874
allAtoms_rel_2D,75412.0,21.344276549516035,0.666478054859245,20.15851441591022,20.867200980098083,21.16547328543026,21.661973460926706,29.066,1.4115696728780565,2.8163496648852684
C_rel_XY_3D,75412.0,2.4568140841439807,1.01763681747706,0.5177332424730516,1.715541404039851,2.263025488373785,2.9882527202223423,19.858349166138908,1.5966782673383226,8.00988425009293
allAtoms_rel_XY_3D,75412.0,1.9371623500649948,0.5675955445471111,0.7275556718493933,1.5129666077428467,1.8604053600203687,2.27706235693158,6.798551546907854,0.7867171098646847,0.7666550948124704
C_rel_XZ_3D,75412.0,142.79736056321318,999.6452443890225,0.718856959936963,3.2761602837123744,4.328841886468677,6.283054834272599,63132.99999999999,14.69610276268662,433.16398457697795
allAtoms_rel_XZ_3D,75412.0,47.158730152355375,499.1772721317158,0.8462203419133726,2.388889398394925,2.938350772592691,3.7733712237945976,21001.000000000004,16.490999224523843,362.486136339242
C_rel_YZ_3D,75412.0,62.72150188879126,484.3383006358608,0.2602969706014028,1.494461389883753,1.9656606245233403,2.743226461766362,27488.0,16.95866080429714,511.5312814252943
allAtoms_rel_YZ_3D,75412.0,25.50856249172226,285.82713207559067,0.683794109003775,1.3306222646357475,1.5869569589998809,1.9714150896316454,12993.749999999998,18.81567689710403,484.8107189038785
Similarity,75412.0,20.057671591885594,0.016604850393972286,20.01,20.04756014920759,20.054,20.064,20.614,2.908417127980261,32.10060050905955
